Area_Name,Postal_code,Lat,Lon
Maloot,10031,33.0139,73.7889
Dab Sandoha,10041,31.0833,72.55
Malki,10021,27.6528,68.8875
Mangloora,10031,33.0139,73.7889
Bharing (A.K),10030,32.9708,73.9806
Khaliq Nagar,10031,33.0139,73.7889
Ahla,10021,27.6528,68.8875
Gherara,10021,27.6528,68.8875
Kangra,10031,33.0139,73.7889
Watala,10010,30.7819,71.6511
Patni,10021,27.6528,68.8875
Sokasan,10041,31.0833,72.55
Kadhala,10034,32.9708,73.9806
Saryala Chappar,10011,30.7819,71.6511
Barnala,10020,31.6333,73.1
Thub,10021,27.6528,68.8875
Mora Sadha,10031,33.0139,73.7889
Barsali,10031,33.0139,73.7889
Bhimber,10040,32.9833,74.0667
Randian,10041,31.0833,72.55
Jandi Chountra,10041,31.0833,72.55
Dhal Khumba,10101,33.1908,73.1172
Daoora,10041,31.0833,72.55
Baghsar,10051,30.7819,71.6511
Sammani,10060,30.7819,71.6511
Dana,10081,33.1556,74.0972
Darhal Gaggan,10061,30.65,70.7167
Bindi,10061,30.65,70.7167
Bangla Sadabad,10050,30.7819,71.6511
Khanda,10101,33.1908,73.1172
Mirpur City P.O,10250,33.1446137,73.7331095
Chitter Pari (Ak),10230,31.4736,74.2431
Chowki,10080,25.0261,66.8833
Mangla Dam,10200,31.4736,74.2431
Haripur,10101,33.1908,73.1172
Potha Bungish,10301,33.4574,73.2244
Mirpur Agency Npo,10250,33.1446137,73.7331095
Khurmanabad,10251,31.4736,74.2431
Chandrali,10251,31.4736,74.2431
Kharak,10251,31.4736,74.2431
Kandore,10311,34.1078,71.1414
Khaliqabad,10251,31.4736,74.2431
Samlotha,10311,34.1078,71.1414
Siakh,10300,33.4574,73.2244
Khadimabad (A.K.),10310,34.1078,71.1414
Afzal Pur,10360,33.4574,73.2244
Batli,10321,34.4136,72.9211
Bheli,10301,33.4574,73.2244
Janglian Kotla,10361,33.4574,73.2244
Chechian (Ak),10350,33.4574,73.2244
Poona,10100,33.1908,73.1172
Sanwal Sharif,10361,33.4574,73.2244
Chhattroh,10320,34.4136,72.9211
Jatli (Ak),10380,33.0118,73.8604
Sohang,10381,32.9333,73.7833
Banni,10370,33.6333,73.0667
Ali Beg,10381,32.9333,73.7833
Kalri,10381,32.9333,73.7833
Baroh,10081,33.1556,74.0972
Sukh Chainpur,10381,32.9333,73.7833
Mirpur Gpo,10250,33.1446137,73.7331095
Dhamawa,10460,32.1667,73.0741
Barjah,10070,33.1611,73.9806
Panjeri,10400,33.0167,73.9167
Fakrot,10401,33.0167,73.9167
Jhailla,10401,33.0167,73.9167
Rahian,10381,32.9333,73.7833
Gora Nakka,10381,32.9333,73.7833
Gurha Kunjal,10401,33.0167,73.9167
Sanyah,10481,30.0,71.8833
Kalyal Bainsi,10471,33.4833,73.4222
Jatti Dheri,10480,30.0,71.8833
Mawa,10471,33.4833,73.4222
Akal Garh,10470,33.4833,73.4222
Kanel,10501,33.2806,73.7639
Sehar,10481,30.0,71.8833
Boha Dhangri (Ak),10490,32.1667,73.0741
Panwam,10501,33.2806,73.7639
Potha Bainsi,10450,32.1667,73.0741
Asif Abad,10491,32.1667,73.0741
Perahi,10521,33.5564,73.3889
Chak Sawari,10500,33.2472,73.7833
Khan Abad,10521,33.5564,73.3889
Rajdhani,10521,33.5564,73.3889
Dadyal Khurd,10530,33.3447904,73.6892217
Palak (A.K.),10520,33.5564,73.3889
Pind Kalan,10501,33.2806,73.7639
Chhanni Kuntal,10401,33.0167,73.9167
Toneen,10081,33.1556,74.0972
Thathi,10451,33.1992,72.1322
Khadora Kalan,10381,32.9333,73.7833
Balloh,10531,30.4833,71.9
Chowk Sahiban,10521,33.5564,73.3889
Haveli Begal,10531,30.4833,71.9
Doliah Jattan,10521,33.5564,73.3889
Onah,10531,30.4833,71.9
Raipur,10531,30.4833,71.9
Jarahi,10521,33.5564,73.3889
Thub,10531,30.4833,71.9
Sandai,10541,34.7661,72.6761
Sanwala Piran,10545,33.8081,72.6797
Ghaneer,10545,33.8081,72.6797
Holar,11015,34.8333,71.5731
Baran Bhatta,11015,34.8333,71.5731
Sanot,10551,33.4889,73.8667
Chhochh,10531,30.4833,71.9
Hajiabad,11011,34.8333,71.5731
K.D. Khan,10550,33.4889,73.8667
Thara,10544,33.8081,72.6797
Barigurha,11011,34.8333,71.5731
New Afzalpur,11011,34.8333,71.5731
Baroian,11011,34.8333,71.5731
Ratta,10540,32.85,72.6833
Darruni Bathroi,10531,30.4833,71.9
Sorakhi,10541,34.7661,72.6761
Potha,11014,33.95,73.5
Sochani,10531,30.4833,71.9
Sehnsa,11010,34.8333,71.5731
Kaljoor,10551,33.4889,73.8667
Tarala,11015,34.8333,71.5731
Durlian Gujran,11031,33.6361,73.8986
Kritot,11015,34.8333,71.5731
Ainti,11015,34.8333,71.5731
Pateri,11041,25.4375,68.0083
Gulpur (Ak),11030,33.6361,73.8986
Kajlani,11031,33.6361,73.8986
Nar,11040,25.4375,68.0083
Khawas,11031,33.6361,73.8986
Pilat Pian,11015,34.8333,71.5731
Samror,11101,33.5472,73.8292
Seher Mandi,11020,31.3023,71.16
Doongh,11101,33.5472,73.8292
Sarhota,11101,33.5472,73.8292
Roli,11101,33.5472,73.8292
Danna,11101,33.5472,73.8292
Kotli (A.K.),11100,33.4815,73.9178
Aghar,11101,33.5472,73.8292
Qamrooti,11101,33.5472,73.8292
Kurti,11101,33.5472,73.8292
Chowki Tinda,11101,33.5472,73.8292
Sarsawa,11110,33.4633,73.9229
Sawar,11161,33.5806,73.9444
Chhani,11121,33.0111,73.9306
Tatta Pani,11160,33.5175209,73.8961205
Siah Sharif,11121,33.0111,73.9306
Gunni Malni,11150,33.4633,73.9229
Goi,11161,33.5806,73.9444
Anhoi Sarhota,11111,33.4633,73.9229
Odeh Sharif,11121,33.0111,73.9306
Panjera,11120,33.5694,73.8306
Datoot,11171,33.4633,73.9229
Narali,11161,33.5806,73.9444
Fatehpur Thakiala,11170,33.4633,73.9229
Dhanwan,11161,33.5806,73.9444
Karela Majhan,11171,33.4633,73.9229
Chowki Mong,11190,33.4633,73.9229
Bihal,11201,34.2264,73.1111
Khui Ratta (A.K.),11200,34.2264,73.1111
Jandrot,11171,33.4633,73.9229
Andarla Kothera,11211,32.5708,73.0981
Dabsi,11171,33.4633,73.9229
Bal Brahmana,11220,30.25,72.2833
Ghian Gujran,11201,34.2264,73.1111
